Classification,Year,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Partner Code,Partner,Commodity Code,Commodity,Trade Value (US$),Flag
H5,2017,1,Import,842,USA,156,China,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",616369611,4
H5,2017,2,Export,842,USA,156,China,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",428019,4
H5,2017,3,Re-Export,842,USA,156,China,66,"Umbrellas, sun umbrellas, walking-sticks, seat sticks, whips, riding crops; and parts thereof",13720,0
H5,2017,1,Import,842,USA,156,China,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1710546879,4
H5,2017,2,Export,842,USA,156,China,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",7125149,4
H5,2017,3,Re-Export,842,USA,156,China,67,"Feathers and down, prepared; and articles made of feather or of down; artificial flowers; articles of human hair",1722097,0
H5,2017,1,Import,842,USA,156,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",2125529210,4
H5,2017,2,Export,842,USA,156,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",266056019,4
H5,2017,3,Re-Export,842,USA,156,China,68,"Stone, plaster, cement, asbestos, mica or similar materials; articles thereof",6172806,0
H5,2017,1,Import,842,USA,156,China,69,Ceramic products,2613127544,4
H5,2017,2,Export,842,USA,156,China,69,Ceramic products,120241058,4
H5,2017,3,Re-Export,842,USA,156,China,69,Ceramic products,8751338,0
H5,2017,1,Import,842,USA,156,China,70,Glass and glassware,3225949673,4
H5,2017,2,Export,842,USA,156,China,70,Glass and glassware,424299135,4
H5,2017,3,Re-Export,842,USA,156,China,70,Glass and glassware,21475447,0
H5,2017,1,Import,842,USA,156,China,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",2957427838,4
H5,2017,2,Export,842,USA,156,China,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",1179183149,4
H5,2017,3,Re-Export,842,USA,156,China,71,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",145229734,0
H5,2017,1,Import,842,USA,156,China,72,Iron and steel,681475244,4
H5,2017,2,Export,842,USA,156,China,72,Iron and steel,1068261161,4
H5,2017,3,Re-Export,842,USA,156,China,72,Iron and steel,6744851,0
H5,2017,1,Import,842,USA,156,China,73,Iron or steel articles,12465018978,4
H5,2017,2,Export,842,USA,156,China,73,Iron or steel articles,709744149,4
H5,2017,3,Re-Export,842,USA,156,China,73,Iron or steel articles,51870782,0
H5,2017,1,Import,842,USA,156,China,74,Copper and articles thereof,557026355,4
H5,2017,2,Export,842,USA,156,China,74,Copper and articles thereof,1937440544,4
H5,2017,3,Re-Export,842,USA,156,China,74,Copper and articles thereof,6855945,0
H5,2017,1,Import,842,USA,156,China,75,Nickel and articles thereof,54250154,4
H5,2017,2,Export,842,USA,156,China,75,Nickel and articles thereof,229514700,0
H5,2017,3,Re-Export,842,USA,156,China,75,Nickel and articles thereof,3420883,0
H5,2017,1,Import,842,USA,156,China,76,Aluminium and articles thereof,3536600494,4
H5,2017,2,Export,842,USA,156,China,76,Aluminium and articles thereof,1512076551,4
H5,2017,3,Re-Export,842,USA,156,China,76,Aluminium and articles thereof,5527589,0
H5,2017,1,Import,842,USA,156,China,78,Lead and articles thereof,4673891,4
H5,2017,2,Export,842,USA,156,China,78,Lead and articles thereof,2468004,0
H5,2017,3,Re-Export,842,USA,156,China,78,Lead and articles thereof,667874,0
H5,2017,1,Import,842,USA,156,China,79,Zinc and articles thereof,142290975,4
H5,2017,2,Export,842,USA,156,China,79,Zinc and articles thereof,52486995,0
H5,2017,3,Re-Export,842,USA,156,China,79,Zinc and articles thereof,2887572,0
H5,2017,1,Import,842,USA,156,China,80,Tin; articles thereof,31619102,4
H5,2017,2,Export,842,USA,156,China,80,Tin; articles thereof,6951115,4
H5,2017,3,Re-Export,842,USA,156,China,80,Tin; articles thereof,34398,0
H5,2017,1,Import,842,USA,156,China,81,"Metals; n.e.c., cermets and articles thereof",442723260,4
H5,2017,2,Export,842,USA,156,China,81,"Metals; n.e.c., cermets and articles thereof",143348827,0
H5,2017,3,Re-Export,842,USA,156,China,81,"Metals; n.e.c., cermets and articles thereof",2599873,0
H5,2017,1,Import,842,USA,156,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",3849069095,4
H5,2017,2,Export,842,USA,156,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",185694242,4
H5,2017,3,Re-Export,842,USA,156,China,82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof, of base metal",16412056,0
H5,2017,1,Import,842,USA,156,China,83,Metal; miscellaneous products of base metal,5289962067,4
H5,2017,2,Export,842,USA,156,China,83,Metal; miscellaneous products of base metal,188505854,4
H5,2017,3,Re-Export,842,USA,156,China,83,Metal; miscellaneous products of base metal,25229156,0
H5,2017,1,Import,842,USA,156,China,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1.12339E+11,4
H5,2017,2,Export,842,USA,156,China,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",12887689205,4
H5,2017,3,Re-Export,842,USA,156,China,84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof",1943458421,0
H5,2017,1,Import,842,USA,156,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",1.50044E+11,4
H5,2017,2,Export,842,USA,156,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",12131710889,4
H5,2017,3,Re-Export,842,USA,156,China,85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",4229098116,0
H5,2017,1,Import,842,USA,156,China,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",605560603,4
H5,2017,2,Export,842,USA,156,China,86,"Railway, tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical (including electro-mechanical) traffic signalling equipment of all kinds",39412101,4
